"table_schema","table_name","table_type"
"atletas","club","BASE TABLE"
"atletas","escuela","BASE TABLE"
"atletas","registro","BASE TABLE"
"atletas","registro_reprentantes","BASE TABLE"
"catalogos","alergias","BASE TABLE"
"catalogos","barrio","BASE TABLE"
"catalogos","calles","BASE TABLE"
"catalogos","comunidad","BASE TABLE"
"catalogos","discapacidad","BASE TABLE"
"catalogos","enfermedades","BASE TABLE"
"catalogos","estado","BASE TABLE"
"catalogos","movimientos_sociales","BASE TABLE"
"catalogos","municipio","BASE TABLE"
"catalogos","nacionalidad","BASE TABLE"
"catalogos","organizaciones_sociales","BASE TABLE"
"catalogos","pais","BASE TABLE"
"catalogos","parroquia","BASE TABLE"
"catalogos","sector","BASE TABLE"
"catalogos","sexo","BASE TABLE"
"catalogos","tipo_carnet","BASE TABLE"
"catalogos","tipo_discapacidad","BASE TABLE"
"catalogos","tipo_disciplina_deportiva","BASE TABLE"
"catalogos","tipo_establecimiento_deportivo","BASE TABLE"
"catalogos","tipo_familia","BASE TABLE"
"catalogos","tipo_familiar","BASE TABLE"
"catalogos","tipo_integrante_clap","BASE TABLE"
"catalogos","tipo_movilizacion","BASE TABLE"
"catalogos","tipo_movilizador","BASE TABLE"
"seguridad","auth","BASE TABLE"
"seguridad","auth_assignment","BASE TABLE"
"seguridad","auth_item","BASE TABLE"
"seguridad","auth_item_child","BASE TABLE"
"seguridad","auth_rule","BASE TABLE"
"seguridad","menu","BASE TABLE"
"seguridad","user","BASE TABLE"
